OPTIONS	20	
VEHICULES	996	
		
RATIO	POIDS	NOM
2 3	10	HPRC1
1 10	10	HPRC2
2 3	10	HPRC3
1 4	10	HPRC4
1 3	10	HPRC5
2 3	10	HPRC6
1 28	1	LPRC1
1 18	1	LPRC2
1 9	1	LPRC3
1 6	1	LPRC4
1 20	1	LPRC5
1 2	1	LPRC6
1 3	1	LPRC7
5 8	1	LPRC8
1 20	1	LPRC9
1 3	1	LPRC10
2 3	1	LPRC11
1 7	1	LPRC12
1 76	1	LPRC13
17 30	1	LPRC14

VEHICULE	HPRC1	HPRC2	HPRC3	HPRC4	HPRC5	HPRC6	LPRC1	LPRC2	LPRC3	LPRC4	LPRC5	LPRC6	LPRC7	LPRC8	LPRC9	LPRC10	LPRC11	LPRC12	LPRC13	LPRC14
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
5	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
6	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
9	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
11	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
12	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
14	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
15	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
17	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
19	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
20	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
22	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1
23	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
24	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
25	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
26	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1
27	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
28	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
29	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
31	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
32	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0
33	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
34	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
35	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
37	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
38	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1
39	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
40	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
41	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
43	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
44	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
45	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
46	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
47	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
48	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
49	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
51	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
52	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
53	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
54	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
55	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
56	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
57	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
58	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1
59	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
60	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
61	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
64	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
65	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
66	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
67	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
68	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
71	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
72	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
73	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
74	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
75	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
76	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
77	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
78	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
79	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
80	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
81	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1
82	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
83	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
84	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
85	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
86	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
87	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
89	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
90	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
91	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
92	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
93	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1
94	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
96	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
97	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
98	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
99	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
100	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
101	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1
102	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
103	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
104	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
105	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
106	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1
107	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
108	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
109	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
110	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
111	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
112	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
113	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
115	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
117	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
118	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
119	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
121	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
122	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
123	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
124	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
125	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
126	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
127	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
129	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
130	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
131	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
