OPTIONS	8							
VEHICULES	921							
								
RATIO	POIDS	NOM						
1 5	10	HPRC1						
1 2	10	HPRC2						
1 29	10	HPRC3						
1 7	1	LPRC1						
1 65	1	LPRC2						
1 10	1	LPRC3						
1 3	1	LPRC4						
1 6	1	LPRC5						
								
VEHICULE	HPRC1	HPRC2	HPRC3	LPRC1	LPRC2	LPRC3	LPRC4	LPRC5
1	0	0	0	0	0	0	1	0
2	0	0	0	0	0	0	1	0
3	0	0	0	0	0	0	1	0
4	0	0	0	0	0	0	1	0
5	1	0	0	0	0	0	0	0
6	0	0	0	0	0	0	1	0
7	0	0	0	0	0	0	1	0
8	0	0	1	0	0	0	1	0
9	0	0	0	0	0	0	1	0
10	1	0	0	1	0	0	0	0
11	0	0	0	0	0	0	1	0
12	0	0	0	0	0	0	1	0
13	0	0	0	0	0	0	1	0
14	0	0	0	0	0	0	1	0
15	1	0	0	0	0	0	0	0
16	0	0	0	0	0	0	1	0
17	0	0	0	0	0	0	1	0
18	0	0	0	0	0	0	1	0
19	0	0	0	0	0	0	1	0
20	1	0	0	1	0	0	0	0
21	0	0	0	0	0	0	0	1
22	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0
24	0	1	0	0	0	0	0	0
25	1	0	0	1	0	0	0	0
26	0	1	0	0	0	0	0	1
27	0	0	0	0	0	0	1	0
28	0	0	0	0	0	0	1	0
29	0	0	0	0	0	0	1	0
30	1	0	0	0	0	0	0	0
31	0	0	0	0	0	0	1	0
32	0	0	0	0	0	0	1	0
33	0	0	0	0	0	0	1	0
34	0	0	0	0	0	0	1	0
35	1	0	0	1	0	0	0	0
36	0	0	0	0	0	0	1	0
37	0	0	0	0	0	0	1	0
38	0	0	0	0	0	0	1	0
39	0	0	1	0	0	0	1	0
40	1	0	0	0	0	0	0	0
41	0	0	0	0	0	0	1	0
42	0	0	0	0	0	0	1	0
43	0	0	0	0	0	0	0	1
44	0	1	0	0	0	0	0	0
45	1	0	0	1	0	0	0	0
46	0	0	0	0	0	0	0	0
47	0	1	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	1
50	1	0	0	0	0	0	0	0
51	0	1	0	0	0	0	0	0
52	0	0	0	1	0	0	0	1
53	0	1	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0
55	1	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0
57	0	1	0	0	0	0	0	1
58	0	0	0	0	0	0	1	0
59	0	1	0	0	0	0	0	0
60	1	0	0	1	0	0	0	0
61	0	0	0	0	0	0	1	0
62	0	1	0	0	0	0	0	1
63	0	0	0	0	0	0	0	0
64	0	1	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0
66	0	1	0	0	0	0	0	0
67	1	0	0	1	1	0	0	0
68	0	1	0	0	0	0	0	1
69	0	0	0	0	0	0	1	0
70	0	0	0	0	0	0	1	0
71	0	0	0	0	0	0	1	0
72	1	0	0	1	0	0	0	0
73	0	0	0	0	0	0	1	0
74	0	0	0	0	0	0	1	0
75	0	0	0	0	0	0	1	0
76	0	1	0	0	0	0	0	1
77	1	0	0	0	0	0	0	0
78	0	1	0	0	0	0	0	0
79	0	0	0	0	0	0	0	0
80	0	0	0	0	0	0	0	0
81	0	0	0	1	0	0	0	1
82	0	1	0	0	0	0	0	0
83	1	0	0	0	0	0	0	0
84	0	1	0	0	0	0	0	0
85	0	0	1	0	0	0	1	0
86	0	0	0	0	0	0	1	0
87	0	1	0	0	0	0	0	1
88	1	0	0	1	0	0	0	0
89	0	1	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0
91	0	0	0	0	0	0	0	0
92	0	0	0	0	0	0	1	0
93	1	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	1
95	0	1	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0
97	0	1	0	0	0	0	0	0
98	1	0	0	1	0	0	0	0
99	0	1	0	0	0	0	0	1
100	0	0	0	0	0	0	0	0
101	0	1	0	0	0	0	0	0
102	0	0	0	0	0	0	1	0
103	1	0	0	0	0	0	0	0
104	0	1	0	0	0	0	0	0
105	0	0	0	0	0	0	0	1
106	0	1	0	0	0	0	0	0
107	0	0	0	0	0	0	0	0
108	1	0	0	1	0	0	0	0
109	0	1	0	0	0	0	0	1
110	0	0	0	0	0	0	0	0
111	0	1	0	0	0	0	0	0
112	0	0	0	0	0	0	1	0
